,sim_question,sim_option,survey_total,survey_nonstate,survey_state
10,['11.  A typical member of the Russian elites would prefer'],"{'eastern Ukraine to become part of the Russian Federation.': [73.18943865660835, 15.647967189351936], 'eastern Ukraine to remain part of Ukraine but receive more independence from Kiev.': [45.534951302744, 8.715592056669655], 'eastern Ukraine to remain part of Ukraine under the same conditions that existed before the crisis.': [37.62767157967317, 0]}","I would like (2016: eastern Ukraine) (2020: the DNR and LNR) to become an independent (2016: government) (2020: state).     0.460526
I would like (2016: eastern Ukraine) (2020: the DNR/LNR)  to remain part of Ukraine but receive more indep. from Kiev.      0.307018
I would like (2016: eastern Ukraine) (2020: the DNR and LNR) to become part of the Russian Federation.                      0.162281
I wld like e. Ukr (DNR/LNR) to rem. part of Ukr. under the same cond's that existed b/f (2016: the crisis) (2020: 2014).    0.070175
Name: UKROPTIONS, dtype: float64","I would like (2016: eastern Ukraine) (2020: the DNR and LNR) to become an independent (2016: government) (2020: state).     0.446809
I would like (2016: eastern Ukraine) (2020: the DNR/LNR)  to remain part of Ukraine but receive more indep. from Kiev.      0.340426
I would like (2016: eastern Ukraine) (2020: the DNR and LNR) to become part of the Russian Federation.                      0.148936
I wld like e. Ukr (DNR/LNR) to rem. part of Ukr. under the same cond's that existed b/f (2016: the crisis) (2020: 2014).    0.063830
Name: UKROPTIONS, dtype: float64","I would like (2016: eastern Ukraine) (2020: the DNR and LNR) to become an independent (2016: government) (2020: state).     0.470149
I would like (2016: eastern Ukraine) (2020: the DNR/LNR)  to remain part of Ukraine but receive more indep. from Kiev.      0.283582
I would like (2016: eastern Ukraine) (2020: the DNR and LNR) to become part of the Russian Federation.                      0.171642
I wld like e. Ukr (DNR/LNR) to rem. part of Ukr. under the same cond's that existed b/f (2016: the crisis) (2020: 2014).    0.074627
Name: UKROPTIONS, dtype: float64"
11,"['12.  A typical member of the Russian elites thinks that in annexing Crimea, Russia violated post-war and post-Soviet international agreements and international law?']","{'Definitely no': [39.91181832959367, 7.360333766861781], 'Definitely yes': [22.146227943576903, 0], 'Probably no': [36.02370133896721, 15.560212208480559], 'Probably yes': [33.419283577151674, 0]}","Definitely no    NaN
Definitely yes   NaN
Probably no      NaN
Probably yes     NaN
Name: CRIMEAVIOLAT, dtype: float64","Definitely no    NaN
Definitely yes   NaN
Probably no      NaN
Probably yes     NaN
Name: CRIMEAVIOLAT, dtype: float64","Definitely no    NaN
Definitely yes   NaN
Probably no      NaN
Probably yes     NaN
Name: CRIMEAVIOLAT, dtype: float64"
12,['13.  A typical member of the Russian elites thinks that the reaction of the West to the events in Crimea is explained by'],"{""Criticism of the annexation of a foreign territory by Russia; Russia's violation of the norms of international law"": [93.3106142376927, 0], 'Hostile attitudes toward Russia; a desire to use the opportunity to exert influence on Russia': [39.24778172175438, 0]}","Criticism of the annexation of a foreign territory by Russia; Russia's violation of the norms of international law   NaN
Hostile attitudes toward Russia; a desire to use the opportunity to exert influence on Russia                        NaN
Name: UKRWEST, dtype: float64","Criticism of the annexation of a foreign territory by Russia; Russia's violation of the norms of international law   NaN
Hostile attitudes toward Russia; a desire to use the opportunity to exert influence on Russia                        NaN
Name: UKRWEST, dtype: float64","Criticism of the annexation of a foreign territory by Russia; Russia's violation of the norms of international law   NaN
Hostile attitudes toward Russia; a desire to use the opportunity to exert influence on Russia                        NaN
Name: UKRWEST, dtype: float64"
13,['14.  A typical member of the Russian elites thinks that the deterioration of US-Russian relations over the past five to ten years happened because of'],"{'Both the US and Russia in roughly equal measure': [55.24122913053849, 2.517178149703804], 'Mostly the US': [55.24899315124054, 10.567106712267286]}","Mostly the US                                      0.500000
Both the US and Russia in roughly equal measure    0.435897
Mostly Russia                                      0.064103
Name: RELUSRU, dtype: float64","Mostly the US                                      0.642857
Both the US and Russia in roughly equal measure    0.346939
Mostly Russia                                      0.010204
Name: RELUSRU, dtype: float64","Both the US and Russia in roughly equal measure    0.500000
Mostly the US                                      0.397059
Mostly Russia                                      0.102941
Name: RELUSRU, dtype: float64"
14,['15.  A typical member of the Russian elites thinks that'],"{""Today's hostile relations between Ukraine and Russia are the result of mistakes made by the Russian government, and not of plots by Western countries."": [82.7572179130084, 0], ""Today's hostile relations between Ukraine and Russia are the result of plots by Western countries, and not of mistakes made by the Russian government."": [86.92662100069964, 0]}","3.0                                                                                                               0.306122
2.0                                                                                                               0.265306
4.0                                                                                                               0.220408
Today's hostile relations between Ukraine and Russia are the result of plots by Western countries                 0.134694
Today's hostile relations between Ukraine and Russia are the result of mistakes made by the Russian government    0.073469
Name: WESTPLOT, dtype: float64","3.0                                                                                                               0.400000
2.0                                                                                                               0.238095
Today's hostile relations between Ukraine and Russia are the result of plots by Western countries                 0.209524
4.0                                                                                                               0.142857
Today's hostile relations between Ukraine and Russia are the result of mistakes made by the Russian government    0.009524
Name: WESTPLOT, dtype: float64","2.0                                                                                                               0.285714
4.0                                                                                                               0.278571
3.0                                                                                                               0.235714
Today's hostile relations between Ukraine and Russia are the result of mistakes made by the Russian government    0.121429
Today's hostile relations between Ukraine and Russia are the result of plots by Western countries                 0.078571
Name: WESTPLOT, dtype: float64"
15,['16.  A typical member of the Russian elites thinks that'],"{""Russia's economic problems in the 1990s were the result of Western influence, and not the result of any missteps by the Russian leadership."": [87.80302523158579, 0], ""Russia's economic problems in the 1990s were the result of missteps by the Russian leadership, and not the result of any Western influence."": [82.4320292589351, 0]}","3.0                                                                                              0.363265
2.0                                                                                              0.334694
Russia's economic problems in the 1990s were the result of missteps by the Russian leadership    0.134694
4.0                                                                                              0.114286
Russia's economic problems in the 1990s were the result of Western influence                     0.053061
Name: RUSSMISST, dtype: float64","3.0                                                                                              0.457143
2.0                                                                                              0.276190
4.0                                                                                              0.133333
Russia's economic problems in the 1990s were the result of missteps by the Russian leadership    0.085714
Russia's economic problems in the 1990s were the result of Western influence                     0.047619
Name: RUSSMISST, dtype: float64","2.0                                                                                              0.378571
3.0                                                                                              0.292857
Russia's economic problems in the 1990s were the result of missteps by the Russian leadership    0.171429
4.0                                                                                              0.100000
Russia's economic problems in the 1990s were the result of Western influence                     0.057143
Name: RUSSMISST, dtype: float64"
16,['17.  A typical member of the Russian elites would say that the US interfered in Russian politics during the 2011-12 electoral cycle'],"{'Definitely yes': [46.67970892967583, 12.584569710852353], 'Probably not': [41.70338448637068, 17.190024342765888], 'Probably yes': [47.72524324208578, 9.527314055806077]}","Probably not      0.476923
Definitely not    0.246154
Probably yes      0.230769
Definitely yes    0.046154
Name: INTERFUS, dtype: float64","Probably not      0.500000
Probably yes      0.266667
Definitely not    0.200000
Definitely yes    0.033333
Name: INTERFUS, dtype: float64","Probably not      0.457143
Definitely not    0.285714
Probably yes      0.200000
Definitely yes    0.057143
Name: INTERFUS, dtype: float64"
17,['18.  A typical member of the Russian elites thinks that Russia interfered in the 2016 US presidential election…'],"{'Definitely not': [42.00716216005182, 0.8774711049271716], 'Definitely yes': [45.2005301328671, 9.415921891595929], 'Probably not': [46.17163579407297, 4.894381492101197], 'Probably yes': [49.36960057641217, 14.950070118423158]}","Definitely not    0.422460
Probably not      0.390374
Probably yes      0.176471
Definitely yes    0.010695
Name: INTERFRUS, dtype: float64","Definitely not    0.444444
Probably not      0.444444
Probably yes      0.111111
Definitely yes    0.000000
Name: INTERFRUS, dtype: float64","Definitely not    0.402062
Probably not      0.340206
Probably yes      0.237113
Definitely yes    0.020619
Name: INTERFRUS, dtype: float64"
18,['19.  A typical member of the Russian elites thinks that the growth of US military power compared to that of Russia represents the greatest threat to the security of Russia'],"{'The utmost danger': [72.27219003693351, 23.998572580618834]}","4.0                      0.397541
3.0                      0.229508
The utmost danger        0.221311
2.0                      0.094262
The absence of danger    0.057377
Name: SECUSPOWER, dtype: float64","4.0                      0.495238
3.0                      0.200000
The utmost danger        0.200000
The absence of danger    0.057143
2.0                      0.047619
Name: SECUSPOWER, dtype: float64","4.0                      0.323741
3.0                      0.251799
The utmost danger        0.237410
2.0                      0.129496
The absence of danger    0.057554
Name: SECUSPOWER, dtype: float64"
19,['20.  A typical member of the Russian elites thinks that the inability of Russia to resolve its internal problems represents the greatest threat to the security of Russia'],"{'The utmost danger': [75.21605637552318, 20.81351332661882]}","The utmost danger        0.460905
4.0                      0.242798
3.0                      0.160494
2.0                      0.082305
The absence of danger    0.053498
Name: SECDOMES, dtype: float64","The utmost danger        0.339806
4.0                      0.310680
3.0                      0.165049
2.0                      0.126214
The absence of danger    0.058252
Name: SECDOMES, dtype: float64","The utmost danger        0.550000
4.0                      0.192857
3.0                      0.157143
2.0                      0.050000
The absence of danger    0.050000
Name: SECDOMES, dtype: float64"
20,"['21.  A typical member of the Russian elites thinks that  a ""color"" revolution in Russia represents the greatest threat to the security of Russia']","{'The utmost danger': [63.228083218451374, 33.40891288126199]}","2.0                      0.337719
3.0                      0.311404
4.0                      0.179825
The absence of danger    0.118421
The utmost danger        0.052632
Name: COLORREV, dtype: float64","2.0                      0.386139
3.0                      0.267327
4.0                      0.207921
The absence of danger    0.079208
The utmost danger        0.059406
Name: COLORREV, dtype: float64","3.0                      0.346457
2.0                      0.299213
4.0                      0.157480
The absence of danger    0.149606
The utmost danger        0.047244
Name: COLORREV, dtype: float64"
21,['22.  A typical member of the Russian elites thinks that  an information war against Russia conducted by the West represents the greatest threat to the security of Russia'],"{'The utmost danger': [69.10983392692143, 24.750116666392984]}","4.0                      0.319672
3.0                      0.213115
2.0                      0.176230
The absence of danger    0.172131
The utmost danger        0.118852
Name: INFOWEST, dtype: float64","4.0                      0.323810
3.0                      0.228571
2.0                      0.190476
The absence of danger    0.152381
The utmost danger        0.104762
Name: INFOWEST, dtype: float64","4.0                      0.316547
3.0                      0.201439
The absence of danger    0.187050
2.0                      0.165468
The utmost danger        0.129496
Name: INFOWEST, dtype: float64"
22,['23.  A typical member of the Russian elites thinks that  further expansion of NATO to countries in the Near Abroad represents the greatest threat to the security of Russia'],"{'The utmost danger': [74.64002398112639, 22.194958699349716]}","4.0                      0.380165
The utmost danger        0.326446
3.0                      0.206612
2.0                      0.078512
The absence of danger    0.008264
Name: NATOEXP, dtype: float64","4.0                      0.371429
The utmost danger        0.361905
3.0                      0.190476
2.0                      0.066667
The absence of danger    0.009524
Name: NATOEXP, dtype: float64","4.0                      0.386861
The utmost danger        0.299270
3.0                      0.218978
2.0                      0.087591
The absence of danger    0.007299
Name: NATOEXP, dtype: float64"
23,['24.  A typical member of the Russian elites thinks that further enlargement of the EU to countries in the Near Abroad represents the greatest threat to the security of Russia'],"{'The utmost danger': [69.21729857276975, 29.90095633178173]}","3.0                      0.418033
2.0                      0.209016
4.0                      0.204918
The absence of danger    0.094262
The utmost danger        0.073770
Name: EUEXP, dtype: float64","3.0                      0.451923
2.0                      0.221154
4.0                      0.211538
The utmost danger        0.076923
The absence of danger    0.038462
Name: EUEXP, dtype: float64","3.0                      0.392857
2.0                      0.200000
4.0                      0.200000
The absence of danger    0.135714
The utmost danger        0.071429
Name: EUEXP, dtype: float64"
24,"[""25.  A typical member of the Russian elites thinks that cyberattacks on Russia's critical infrastructure launched by the West represents the greatest threat to the security of Russia""]","{'The utmost danger': [68.7904439136982, 19.21944406336029]}","3.0                      0.326531
4.0                      0.289796
The utmost danger        0.212245
2.0                      0.163265
The absence of danger    0.008163
Name: CYBERWEST, dtype: float64","4.0                      0.314286
3.0                      0.266667
2.0                      0.219048
The utmost danger        0.190476
The absence of danger    0.009524
Name: CYBERWEST, dtype: float64","3.0                      0.371429
4.0                      0.271429
The utmost danger        0.228571
2.0                      0.121429
The absence of danger    0.007143
Name: CYBERWEST, dtype: float64"
25,['26.  A typical member of the Russian elites thinks that  the US represents a threat to Russian national security?'],"{'Yes': [59.835649673337876, 24.307652232984832]}","Yes     0.598291
No      0.358974
99.0    0.042735
Name: FPUSFEAR, dtype: float64","Yes     0.686869
No      0.242424
99.0    0.070707
Name: FPUSFEAR, dtype: float64","Yes     0.533333
No      0.444444
99.0    0.022222
Name: FPUSFEAR, dtype: float64"
26,['27.  A typical member of the Russian elites thinks that Russia should…'],"{'Increase its military expenditures': [82.39855535808026, 8.119186737810557], 'Keep its military expenditures at the same level': [50.597288185686956, 15.154642604900282]}","Keep them at the same level           0.520833
Increase its military expenditures    0.337500
Decrease them                         0.141667
Name: MILLEV, dtype: float64","Keep them at the same level           0.543689
Increase its military expenditures    0.436893
Decrease them                         0.019417
Name: MILLEV, dtype: float64","Keep them at the same level           0.503650
Increase its military expenditures    0.262774
Decrease them                         0.233577
Name: MILLEV, dtype: float64"
27,"['28.  According to A typical member of the Russian elites, should Russia send its troops to assist countries that were formerly part of the USSR if they request military assistance?']","{'It should': [86.089266974167, 0], 'It should not': [81.6232392364472, 0]}","It should        0.718062
It should not    0.281938
Name: FPAIDXSU, dtype: float64","It should        0.824742
It should not    0.175258
Name: FPAIDXSU, dtype: float64","It should        0.638462
It should not    0.361538
Name: FPAIDXSU, dtype: float64"
28,"['29.  According to A typical member of the Russian elites, should Russia send its troops to assist other foreign countries if they request military assistance?']","{'It should': [84.22335987689571, 0], 'It should not': [89.46137483035817, 0]}","It should        0.589372
It should not    0.410628
Name: FPAIDOTH, dtype: float64","It should        0.774194
It should not    0.225806
Name: FPAIDOTH, dtype: float64","It should not    0.561404
It should        0.438596
Name: FPAIDOTH, dtype: float64"
29,"[""30.  In A typical member of the Russian elites's opinion, defending the territorial integrity of the Russian Federation makes the use of the Russian military permissible?""]","{'No': [55.90169691648694, 0], 'Yes': [75.7464960071401, 0]}","Yes    0.979592
No     0.020408
Name: LFINTEG, dtype: float64","Yes    1.0
No     0.0
Name: LFINTEG, dtype: float64","Yes    0.964286
No     0.035714
Name: LFINTEG, dtype: float64"
30,"[""31.  In A typical member of the Russian elites's opinion, defending Russian economic interests makes the use of the Russian military permissible?""]","{'Yes': [57.348437344323315, 21.841908866403912]}","Yes    0.549107
No     0.450893
Name: LFECON, dtype: float64","Yes    0.625
No     0.375
Name: LFECON, dtype: float64","No     0.507812
Yes    0.492188
Name: LFECON, dtype: float64"
31,"[""32.  In A typical member of the Russian elites's opinion, defending the interests of Russians [rossiyan] living in the former republics of the USSR makes the use of the Russian military permissible?""]","{'Yes': [61.13422389315629, 19.16604853472442]}","Yes    0.571429
No     0.428571
Name: LFINTCIS, dtype: float64","Yes    0.647059
No     0.352941
Name: LFINTCIS, dtype: float64","Yes    0.508197
No     0.491803
Name: LFINTCIS, dtype: float64"
32,"[""33.  In A typical member of the Russian elites's opinion, defending the interests of Russian citizens in other countries makes the use of the Russian military permissible?""]","{'No': [56.085758772979055, 0], 'Yes': [71.45515327502177, 0]}","Yes    0.515982
No     0.484018
Name: LFINTOTH, dtype: float64","Yes    0.64
No     0.36
Name: LFINTOTH, dtype: float64","No     0.588235
Yes    0.411765
Name: LFINTOTH, dtype: float64"
33,"[""34.  In A typical member of the Russian elites's opinion, safeguarding Russian national security in other countries makes the use of the Russian military permissible?""]","{'Yes': [63.843487718848934, 19.259735901267]}","Yes    0.940367
No     0.059633
Name: LFNATSEC, dtype: float64","Yes    0.938776
No     0.061224
Name: LFNATSEC, dtype: float64","Yes    0.941667
No     0.058333
Name: LFNATSEC, dtype: float64"
34,"[""35.  In A typical member of the Russian elites's opinion, providing security for Russia's international friends makes the use of the Russian military permissible?""]","{'No': [60.006499777993305, 0], 'Yes': [75.25087534011388, 0]}","No     0.529954
Yes    0.470046
Name: LFFRIEND, dtype: float64","Yes    0.5625
No     0.4375
Name: LFFRIEND, dtype: float64","No     0.603306
Yes    0.396694
Name: LFFRIEND, dtype: float64"
35,"[""36.  In A typical member of the Russian elites's opinion, achieving a military balance with the West makes the use of the Russian military permissible?""]","{'No': [52.27051712342866, 0], 'Yes': [68.53592333062551, 0]}","Yes    0.708696
No     0.291304
Name: LFBALWEST, dtype: float64","Yes    0.784314
No     0.215686
Name: LFBALWEST, dtype: float64","Yes    0.648438
No     0.351562
Name: LFBALWEST, dtype: float64"
36,"[""37.  In A typical member of the Russian elites's opinion, supporting and protecting human rights in other countries makes the use of the Russian military permissible?""]","{'No': [67.51789176820452, 0], 'Yes': [69.86705947279496, 0]}","No     0.77
Yes    0.23
Name: LFHUMRTS, dtype: float64","No     0.714286
Yes    0.285714
Name: LFHUMRTS, dtype: float64","No     0.816514
Yes    0.183486
Name: LFHUMRTS, dtype: float64"
37,"[""38.  In A typical member of the Russian elites's opinion, defending the territorial integrity of the Russian Federation makes the use of natural resources for political goals permissible?""]","{'No': [77.77920565717714, 0], 'Yes': [80.1201710716434, 0]}","No    NaN
Yes   NaN
Name: RESTERRIT, dtype: float64","No    NaN
Yes   NaN
Name: RESTERRIT, dtype: float64","No    NaN
Yes   NaN
Name: RESTERRIT, dtype: float64"
