Variables,Option1before,Option2before,Option3before,Option4before,Option1after,Option2after,Option3after,Option4after
EVPUCORR,"[99.3489387088326, 0.2808783915183588]","[95.18481857118827, 12.394413362230248]","[91.71915189973578, 18.059271305376523]",,"[93.40124608250068, 13.987230521330872]","[85.99292731734445, 18.737664135746382]","[90.76797169145077, 9.816959877875432]",
EVPUDEMO,,"[99.5504996469976, 1.7447800895108927]","[89.79478612806415, 14.416580558878477]",,,"[97.10023540967562, 8.094143886805439]","[99.0398819183677, 0.3739551183203867]",
EVPUINEQ,"[97.93480735516631, 7.78866161372475]","[84.49304269373997, 0]","[84.65950229814068, 19.957970038927474]",,"[94.60523325886618, 14.042085098446458]",,"[91.54884866846363, 12.35034420313317]",
EVPUINFL,"[98.54577756204846, 5.468263036256871]",,"[72.73235902406253, 15.517262037061363]",,"[88.77959301964763, 18.850708923162934]","[92.27491392734228, 11.264511916668335]","[56.79708397767854, 0]",
EVPUINTEGR,"[96.21659848593448, 9.620746297066887]",,"[90.2594255043848, 8.486999948051741]",,"[94.56717565447356, 10.564824779122105]","[56.14610920953245, 0]","[87.5663464590052, 9.836224493948155]",
EVPULIV,"[97.52880909087625, 8.754509777055368]",,"[70.12684968553552, 22.931767261656578]",,"[82.00493059759559, 24.38495347130791]","[87.38306424351612, 15.400450852733329]","[83.90883395854134, 10.89692812777627]",
EVPUMIL,"[99.93804461502558, 0.07628130482626537]",,,,"[99.86166803712831, 0.45877209813198944]",,,
EVPUMORAL,"[90.97845712261179, 7.3956993466924486]","[88.38298526521136, 18.338625414234468]","[92.11376689400035, 14.935849198091429]",,"[76.51994222684213, 21.527179420944584]","[89.76554232842999, 17.525325952380115]","[88.84739475442237, 19.46042120494956]",
EVPUPOLST,"[93.45020311279394, 11.737917875675477]",,"[90.07841809735062, 15.422059922386683]",,"[86.83130084529063, 17.25151199503633]","[81.9832189803495, 25.423392722943266]","[84.27658027666807, 15.13224440398136]",
EVPURESPECT,"[93.05747502967719, 8.60252568284757]","[91.73756446798214, 13.84693192076614]","[91.73405403996962, 12.386069382216977]",,,"[96.97876288418813, 8.983120935363184]","[79.93367961030216, 0]",
EVPURESPONSE,"[97.35393235842066, 8.676020277149071]",,"[78.29233077950978, 28.535685221747382]",,"[94.76989749941262, 10.590980784841069]","[85.50029202223364, 24.099640291548987]","[76.44747909782095, 14.996129383633178]",
FORCESTR,"[89.63689298940977, 13.458890635835237]","[97.89248006388225, 3.129439232013158]",,,"[69.24600929785005, 22.336359138457695]","[95.9798762141678, 6.033711418540659]",,
FPAIDOTH,,"[93.30311144762057, 16.903552108082305]",,,,"[99.87877380157707, 0.1548060908269557]",,
FPAIDXSU,"[63.113194733794195, 0]","[88.52163349296501, 17.836095661880126]",,,,"[97.59831264313203, 4.4947923155367375]",,
FPCHFEAR,"[93.51719921163527, 15.135045942375047]","[99.95221373727321, 0]",,,"[89.80261707416419, 20.735711874697582]","[99.36042368494293, 0.6938733259300536]",,
FPHMNRHT,,,"[99.87838352633058, 0.08973053693283436]",,"[76.27243488825171, 27.599563450449683]","[99.59470315364615, 0]","[95.77259507964197, 10.416371791090622]",
FPIMAGE,"[83.47378203501916, 19.425775705777006]","[97.84924795659741, 3.4509617478084444]",,,,"[94.12308326261186, 15.58771983255481]",,
FPNATINT,"[95.45173536653762, 9.079098879406251]","[60.41705218189891, 0]",,,"[99.98015038297895, 0.001978288254631935]","[99.9684529881459, 0.012906218082065731]",,
FPNATINT1,,"[95.49530732794106, 5.689295183093432]","[99.44722810345436, 2.1726743994518203]",,,"[95.25356786452738, 2.1928026708203805]","[90.41591404714204, 15.984049337934641]",
FPRUINFL,"[97.9909401007202, 3.783377226066796]","[78.25572224196314, 22.348640191425936]",,,"[59.710592053212174, 0]","[90.10658864343696, 19.0947702535468]",,
FPRULIV,"[94.3945647567393, 6.101232447353638]","[73.26415020600884, 2.2919632724955497]",,,"[99.70428892918154, 0.19094749831330873]","[99.9390531202954, 0.02297313762805371]",,
FPRUUS,,"[95.32706187806143, 6.4998433744967725]",,,,"[99.77607589629419, 0.22355515007613316]",,
FPUSFEAR,"[98.50828648884007, 2.9045845218736375]","[88.81390447302991, 18.463318974908407]",,,"[95.28081990952933, 7.936056608590696]","[99.37838713318409, 0.5764978190828024]",,
GBF,"[98.99256765632646, 0.6159710550301234]","[97.73888181547659, 3.8336287807194336]","[92.98632590472978, 11.872496187353486]",,,"[94.29720092022234, 5.854671124762884]","[96.65883282670917, 9.427769044507807]",
GEORGIAF,"[83.68549878111884, 1.084525552670099]","[97.70902104269106, 5.217662988110979]","[98.7475988688507, 2.0665943388555745]",,,"[99.5194328623268, 1.3837368410227757]","[94.53870402329076, 9.944462626288976]",
GERMANYF,"[78.36361738142398, 15.694971058175977]","[99.22108109691158, 2.213619766230869]","[99.38218691707391, 0.5312767089221806]",,,"[97.74853188626392, 5.975374701009427]","[93.49339672259674, 12.77544679658919]",
HOMOSEX,"[57.710240493376745, 0]","[96.8216371569246, 8.04653303998455]","[88.03855094735407, 19.22486367920772]",,,"[97.4341291956211, 5.787362590003709]","[99.72734526783213, 0.1803854832350756]",
HUMCOOP,,"[94.60429803044963, 9.797328595687643]","[46.82101244313026, 0]",,,"[96.76135971317315, 7.5831601023325526]","[76.25415653895497, 0]",
IMMIGCRIME,"[74.84979049199406, 18.49945974972609]","[96.4644226383424, 7.439580278376364]",,,"[81.6591866783437, 0]","[98.77576169521383, 0.914890769760009]",,
IMMIGECON,"[99.88697157579695, 0.2356011260915963]",,,,"[99.28773203892192, 0.7258848205032394]","[90.83450483099313, 6.0129978174560925]",,
IMMIGJOBS,"[99.52532764893638, 0.45307501573176145]","[92.11654549190428, 17.35771819460626]",,,,"[86.49988360136666, 14.181454820596194]",,
IMMIGOPEN,"[99.95916291113326, 0.017353997525528263]",,,,"[92.51222082595922, 8.563632387743183]","[82.99768761105454, 19.489273666675526]",,
INBIZNES,"[97.59743215338683, 5.694179988436877]",,,,"[99.9437931263235, 0.028753942146396816]",,,
INDUMA,"[97.66161463712795, 5.899882875061975]",,,,"[99.12095306393576, 2.195236925820826]",,"[75.99151315794049, 17.280527678933073]",
INFLFP,,"[93.53495539073438, 13.477438964041628]","[93.29543078153107, 14.219133422805466]",,,"[79.02759578971549, 17.130202769841155]","[91.22770394361969, 15.044223076224911]",
INFOWEST,,"[98.2183072299154, 0]","[99.67461278225277, 1.029606322398396]",,,,"[99.6979539048802, 1.183890628226081]",
INFSB,"[99.68445442883122, 1.0998791769770462]",,,,"[99.95159585985063, 0.017828838416234973]",,,
INMDEF,"[99.92532831647704, 0.040654009867864195]",,,,"[99.94968878020813, 0.018748198153079678]",,,
INMFA,"[99.94530108572329, 0.019601582076842892]",,,,"[99.95966159398316, 0.013473271008515348]",,,
INPARTY,"[98.89276675021057, 2.1618098725416366]",,,,"[90.2570269975523, 14.961906411046883]",,"[89.43165673534718, 12.505747937613052]",
INPM,"[99.93771442910614, 0.0226399434985657]",,,,"[99.9530422780909, 0.015881219977713204]",,,
INPRES,"[99.94537087591057, 0.01735688741483029]",,,,"[99.95509339474988, 0.01462609571017966]",,,
INPUBLIC,"[92.29012367676299, 10.400758682024865]","[82.22676231906732, 14.261600811650931]","[87.87650701109075, 20.5752514371311]",,"[98.79515235244754, 1.91480478020239]",,"[83.71422729459321, 15.1729671393012]",
INREGION,"[99.81619591963921, 0.23953746098116882]",,,,"[99.94826899068677, 0.02917021457138645]",,,
INTERFRUS,"[99.77169606539854, 0.2856810575143157]","[99.88890008700201, 0.1580042262750615]",,,"[98.99077883503155, 1.2320828831025175]","[93.94766280138931, 13.465642291460497]",,
INTERFUS,"[96.28872537171539, 7.85674381748195]","[99.94998459887383, 0]",,,"[98.04443021217534, 2.1745467683890896]","[98.73710927711909, 2.7456600142724525]",,
JAPANF,"[94.16443678202663, 5.024773660930342]","[99.12296968113675, 2.4748296771920866]","[99.83846401005401, 0]",,,"[97.05479518502007, 9.557053324531669]","[99.9569694685291, 0.032716115279531076]",
LANGUAGE1,"[99.9292249959807, 0.01692440529271949]","[99.86088053386288, 0.08731341611480511]","[99.27813134218036, 0.7976038803187216]",,"[99.92186826384466, 0.0266200463426551]","[98.25041865212545, 2.7713565026399123]","[96.87908794644356, 5.607212767239997]",
LEADERBE,"[88.78104263374914, 16.017388549080902]","[90.30847533313857, 14.185683928567434]",,,"[89.80538777326868, 13.045388970650412]","[85.45125198291576, 15.431509701446224]","[73.47484290070742, 18.947937009662358]",
LFBALWEST,"[85.5787328712043, 12.204211132054954]","[99.79453145329889, 0.30000642159318186]",,,"[99.82362830553241, 0.10616776511587814]","[95.21670130692617, 5.688173709864555]",,
LFECON,"[61.60333570454152, 6.017728276470407]","[95.02856596217211, 10.459626505330618]",,,"[67.52890895774217, 10.73419813528545]","[95.44479750706812, 10.128472291439321]",,
LFFRIEND,"[91.25153715574936, 3.9873637915716533]","[99.51939410666624, 0.8053623843713477]",,,"[91.93764666011488, 16.04254533195781]","[83.74418446543886, 18.452298023358164]",,
LFHUMRTS,,"[99.79440694901373, 0.28904848584861714]",,,,"[99.77316629027449, 0.4177688705165095]",,
LFINTCIS,"[87.11823565492796, 5.807381736466979]","[96.5725566790512, 5.536441325163305]",,,"[90.41103130880063, 16.7523797810269]","[91.80457416243686, 16.327553942237763]",,
LFINTEG,"[99.32530307553627, 1.3731480083512055]",,,,"[92.4135139947173, 18.17142603976917]","[82.5121316159972, 24.600679309234117]",,
LFINTOTH,"[67.75799539370989, 0]","[88.35284106722956, 19.7242514880789]",,,"[99.96483795529643, 0]","[86.38229244147823, 16.90958931495956]",,
LFNATSEC,"[79.09709363512054, 29.391176698071817]","[91.77120040123984, 9.307010336956191]",,,"[82.01714716344205, 25.353621275662356]","[90.14695685239658, 16.227762465960836]",,
LIKELYPUFUTURE,"[96.16005781723592, 9.807982625553516]","[74.12848793430803, 14.710539158818518]",,"[74.722586922745, 20.546350145221346]","[89.25216578220919, 14.360328201051136]","[86.49155832506057, 16.124660951961637]",,
MILLEV,"[87.86144332677368, 0]",,"[91.53598947757283, 15.880643584075369]",,"[99.95307306445152, 0.033085073112958795]",,,
MILROLE,,"[99.94706841359913, 0.04160302572599565]",,,"[93.79845045611418, 15.041985677801375]","[88.18136766952952, 15.703399747332918]",,
NATOEXP,,"[94.8832569751655, 6.6510043716949685]","[99.92585464441673, 0.18987620973417438]",,,,"[99.53357880211536, 1.9527902663376504]",
NATOF,,,"[99.25973662516293, 1.735566018865872]",,,,"[99.97101404172943, 0.014610821783910766]",
NEWBUSI,,"[98.16003011904, 2.726651539266982]","[85.2242302686218, 19.4797905650183]",,,"[97.68303595908333, 6.414924518312848]","[88.2647359963865, 13.396862347082022]",
OBJNAT,"[83.27438339414633, 23.57050407496233]","[96.67880889331185, 3.649363706924249]",,,,"[98.12573877992146, 4.947956368926578]",,
OBJPRIV,"[90.37984619596392, 15.654186841931974]","[99.96586307648546, 6.741163228366987e-05]",,,"[85.72656343586912, 0]","[98.97712163939289, 1.9233014664327253]",,
OBJWEST,"[50.37360492002564, 0]","[99.85550219896214, 0.12860536380321455]",,,,"[99.85000930944109, 0.12146822555381619]",,
ONEPHILO,,"[96.9497647502546, 10.071444324654488]","[98.09354322967381, 4.4212303921268585]",,,"[96.59584129888796, 10.36165899891022]","[88.88181948873026, 11.925940170937787]",
PARTYMEM,"[92.40571274620663, 6.473873434072265]","[94.31881284617486, 9.76848760222483]",,,,"[99.74283841063061, 0.44752105576656737]",,
PERESTEVAL,"[90.42325204612982, 7.007268204310603]","[76.58413231142698, 22.812811770877268]",,,"[98.90886889282862, 1.8063262357397278]",,,
PERESTLIVST,"[60.43626761967368, 19.20736482660169]","[78.75711396398951, 19.13489468556887]","[88.48963598389426, 14.242165758919457]",,"[91.08081708027859, 13.563416316370246]","[77.811551198728, 30.436750689340958]","[92.3498294510208, 13.6123430573557]",
POLANDF,,"[99.7381630049724, 0.8925092592375055]","[96.20725185395996, 6.980887023638726]",,,"[97.11983517862767, 8.291558308378011]","[96.31670148131087, 11.242218368668409]",
PPROTEST1,"[99.96159552126572, 0.019325333973097044]","[99.93625566880807, 0.026899620813386375]",,,"[77.4071310846597, 11.337872825595948]","[99.97950511142, 0.0027649628146291286]",,
PPROTEST2,"[76.35815843693561, 17.793587371117052]","[95.3524105692774, 9.157545085536942]",,,"[81.9487706179289, 12.891647677922798]","[99.78647460783071, 0.4231074129297166]",,
PPROTEST3,"[99.95065427537415, 0.02080664690903155]","[98.60547130484167, 2.844212335116299]",,,"[80.74218606438899, 4.579859526535098]","[94.38448323018548, 8.733145259175936]",,
PPROTEST4,,"[98.48992805502684, 2.660874138446873]",,,,"[94.82973933302716, 13.373614845248538]",,
PPROTEST6,,"[94.790911764725, 13.834492724588612]",,,,"[98.82435559551067, 2.1324039768482153]",,
PPROTEST7,"[99.8958634697574, 0]","[76.88446929665581, 22.03086116305356]",,,"[84.95491092051283, 0]","[98.67810306499916, 2.197529940974888]",,
PRIDE,"[99.19787219228313, 2.071698935286448]",,,,"[93.54742164672808, 9.676284805056673]","[99.95015150149446, 0]",,
PRIDEARMY,"[99.84021026220267, 0.10316297136400374]","[98.37033864018369, 2.180430918033969]",,,"[99.16996702840896, 1.025557005785648]","[96.83539157569109, 2.938280415796581]",,
PRIDEDEM,"[86.71911208119538, 21.854807065571595]","[99.87991686126566, 0.027689471891545164]",,,"[82.63327751843718, 27.213960581048358]","[99.92209199566909, 0.0681276408632034]",,
PRIDEGLOBINF,"[96.92166597400774, 4.8331526508577145]",,,,"[98.13230795967365, 3.579220286180007]","[98.81588271965781, 1.6346510472277078]",,
PRIDEHIST,"[96.48451093716162, 7.499635498892616]","[87.89133535908434, 0]",,,"[98.56469632778293, 1.1604399841757969]","[91.5210454442564, 9.90925030839948]",,
PRIDERECON,"[94.56938565795144, 7.524259216618162]","[99.84741956654972, 0.01834655783483395]",,,"[94.80418060251831, 10.647205539269892]","[98.45289618944159, 0.4838836874864788]",,
REGINTERNET,,"[98.60698357633173, 4.608376627020826]","[92.22910785302106, 12.737017385869182]",,"[99.27278871990156, 1.243555450967651]","[90.71447105350259, 13.301430707340705]",,
RELUSRU,"[97.26282517364865, 3.685322472174352]",,"[94.11030842379827, 11.491866866533824]",,"[90.6307264314977, 8.640189211469986]","[58.599120385742076, 0]","[97.69456380809743, 5.901695502930747]",
RICHER,"[83.41242307355522, 0]","[87.5440856259514, 17.022097835468003]","[84.06475665408364, 6.70269932670568]",,,"[92.52212853588985, 10.893158401655176]","[96.58080872013946, 0]",
RUSSIAFORRUS,"[84.33664702046187, 22.17645150187922]","[83.4742960874945, 18.1220294364803]","[84.34965707289446, 26.829671530090984]",,"[94.59512995442257, 14.272578116363903]","[80.62766112728326, 20.423950869128777]","[81.97931718420118, 0]",
RUSSMISST,"[88.6489473281027, 10.808422239220867]","[96.9280995142302, 5.475541906818306]",,,"[98.7043053339293, 1.9388075523675872]","[91.20854307497068, 8.703634655117648]","[67.06233596007542, 13.121585191645236]",
RUSSTRADIT,"[80.85423194954231, 18.602719084279833]","[98.02562601832837, 3.632180059446469]","[87.81626753969843, 9.028302909518732]",,"[93.43183998128845, 6.529607036112583]","[92.29950888948744, 12.30231311501023]","[81.22056397170373, 0]",
RUSSYST,"[69.4705120428232, 2.116789366560164]","[90.49362440376997, 14.998432977528594]","[97.16447990160752, 8.608922490829801]",,"[84.74084567968727, 13.771283242574654]","[89.11347302028926, 12.475691203899247]","[95.60741346246601, 8.980971172570763]",
RUS_BEL,"[98.63347914792811, 2.4941603098281084]","[81.83736596836115, 0]","[93.21171624247833, 15.034269600798408]",,"[95.94064920376042, 9.49340242313099]","[71.88669047569813, 0]","[99.83561692720843, 0.16176201873752188]",
RUS_N_EU,"[79.53014178494041, 6.08656077045341]","[98.35367748459626, 4.11131657409468]",,,"[97.41703162259967, 7.456755710908119]","[97.01430549858284, 6.591991345249468]",,
RUS_N_UK,"[98.44895103044807, 4.160257053679875]",,"[99.55381258531419, 0.10305949548841178]",,"[99.92695051571704, 0.05505692781842652]",,,
SANCTLIV,"[97.01414736078442, 8.65933959301709]","[74.45662625876588, 21.092891930899523]",,,"[99.94331893254967, 0.02963297697390499]",,,
SECDOMES,,"[77.08873653792492, 11.645176388121499]","[98.63064429735384, 3.6173625856520504]",,,,"[99.04927430958291, 3.217455727010289]",
SECUSPOWER,,"[95.9675085368312, 7.2733175420373755]","[92.5058913048648, 15.93432491078409]",,,"[72.04789292632245, 12.234616992979724]","[99.73001281380157, 0.43852422744266234]",
SEMODEL,"[82.9501545136746, 19.59874915734126]",,"[98.95140842443733, 4.789534299774484]",,,"[90.11855491221249, 10.30022349471041]","[98.66271170921505, 4.786380358952144]",
STALIN,"[87.88002886609615, 0]","[87.86848717310122, 17.1074392791972]","[71.98626975400293, 23.467224833951516]",,,"[97.94825027716637, 6.0262896752226265]",,
STATEIND,"[89.2345731614707, 0]","[94.59585356222333, 14.137395585256622]","[87.33720483498483, 18.294407809342818]",,"[93.24088241998905, 16.02354199238011]","[76.59656424878399, 16.503278314062783]","[76.88137044531591, 15.98941282002368]",
UKRAINEF,,"[97.69630279600558, 4.966097874013849]","[98.47170983323946, 3.4014137519452112]",,,,"[99.96527408229511, 0.03485561400715238]",
UKROPTIONS,"[88.95942456235534, 15.577685972572379]",,"[99.70053576404078, 0.49748408390210547]",,"[94.04005449982324, 13.891183128184087]",,"[92.55141196324199, 17.666820426030075]",
USF,,"[85.2654052291169, 20.582576442477833]","[96.40717614308133, 10.752430592451535]",,,,"[99.97393762689735, 0.014803254451871873]",
WESTPLOT,,"[95.36220112211996, 9.729574471828874]","[87.30272424985131, 23.22481860682673]",,"[65.67657953009693, 0]","[62.643636247791136, 14.611191737192172]","[93.16581257166455, 10.814512803663929]",
