Index,Variable,Permutation,Questions,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10
35,INFOWEST,yes,[PLACEHOLDER] thinks that  an information war against Russia conducted by the West represents the greatest threat to the security of Russia,The absence of danger,Moderate danger,The utmost danger,,,,,,,
36,NATOEXP,yes,[PLACEHOLDER] thinks that  further expansion of NATO to countries in the Near Abroad represents the greatest threat to the security of Russia,The absence of danger,Moderate danger,The utmost danger,,,,,,,
37,EUEXP,yes,[PLACEHOLDER] thinks that further enlargement of the EU to countries in the Near Abroad represents the greatest threat to the security of Russia,The absence of danger,Moderate danger,The utmost danger,,,,,,,
38,CYBERWEST,yes,[PLACEHOLDER] thinks that cyberattacks on Russia's critical infrastructure launched by the West represents the greatest threat to the security of Russia,The absence of danger,Moderate danger,The utmost danger,,,,,,,
39,FPUSFEAR,yes,[PLACEHOLDER] thinks that  the US represents a threat to Russian national security?,Yes,No,,,,,,,,
40,MILLEV,yes,[PLACEHOLDER] thinks that Russia should…,Increase its military expenditures,Decrease its military expenditures,Keep its military expenditures at the same level,,,,,,,
41,FPAIDXSU,yes,"According to [PLACEHOLDER], should Russia send its troops to assist countries that were formerly part of the USSR if they request military assistance?",It should,It should not,,,,,,,,
42,FPAIDOTH,yes,"According to [PLACEHOLDER], should Russia send its troops to assist other foreign countries if they request military assistance?",It should,It should not,,,,,,,,
43,LFINTEG,yes,"In [PLACEHOLDER]'s opinion, defending the territorial integrity of the Russian Federation makes the use of the Russian military permissible?",Yes,No,,,,,,,,
44,LFECON,yes,"In [PLACEHOLDER]'s opinion, defending Russian economic interests makes the use of the Russian military permissible?",Yes,No,,,,,,,,
45,LFINTCIS,yes,"In [PLACEHOLDER]'s opinion, defending the interests of Russians [rossiyan] living in the former republics of the USSR makes the use of the Russian military permissible?",Yes,No,,,,,,,,
46,LFINTOTH,yes,"In [PLACEHOLDER]'s opinion, defending the interests of Russian citizens in other countries makes the use of the Russian military permissible?",Yes,No,,,,,,,,
47,LFNATSEC,yes,"In [PLACEHOLDER]'s opinion, safeguarding Russian national security in other countries makes the use of the Russian military permissible?",Yes,No,,,,,,,,
48,LFFRIEND,yes,"In [PLACEHOLDER]'s opinion, providing security for Russia's international friends makes the use of the Russian military permissible?",Yes,No,,,,,,,,
49,LFBALWEST,yes,"In [PLACEHOLDER]'s opinion, achieving a military balance with the West makes the use of the Russian military permissible?",Yes,No,,,,,,,,
50,LFHUMRTS,yes,"In [PLACEHOLDER]'s opinion, supporting and protecting human rights in other countries makes the use of the Russian military permissible?",Yes,No,,,,,,,,
51,FPCHFEAR,yes,"In [PLACEHOLDER]'s opinion, China represents a threat to Russian national security",Yes,No,,,,,,,,
52,INFLFP,yes,Do you think people like [PLACEHOLDER] can influence decisions in the realm of foreign policy?  ,"No, they cannot",Some influence,Significant influence,,,,,,,
53,INPUBLIC,yes,"According to [PLACEHOLDER], what influence does public opinion have on current Russian foreign policy?",Major influence,Average influence,Minor influence,,,,,,,
54,INDUMA,yes,"According to [PLACEHOLDER], what influence does the State Duma have on current Russian foreign policy?",Major influence,Average influence,Minor influence,,,,,,,
55,INPRES,yes,"According to [PLACEHOLDER], what influence does the President have on current Russian foreign policy?",Major influence,Average influence,Minor influence,,,,,,,
56,INBIZNES,yes,"According to [PLACEHOLDER], what influence do business elites have on current Russian foreign policy?",Major influence,Average influence,Minor influence,,,,,,,
57,INREGION,yes,"According to [PLACEHOLDER], what influence do regional elites have on current Russian foreign policy?",Major influence,Average influence,Minor influence,,,,,,,
58,INMFA,yes,"According to [PLACEHOLDER], what influence does the Ministry of Foreign Affairs have on current Russian foreign policy?",Major influence,Average influence,Minor influence,,,,,,,
59,INMDEF,yes,"According to [PLACEHOLDER], what influence does the Ministry of Defense have on current Russian foreign policy?",Major influence,Average influence,Minor influence,,,,,,,
60,INPARTY,yes,"According to [PLACEHOLDER], what influence do political parties have on current Russian foreign policy?",Major influence,Average influence,Minor influence,,,,,,,
61,INPM,yes,"According to [PLACEHOLDER], what influence does the prime minister have on current Russian foreign policy?",Major influence,Average influence,Minor influence,,,,,,,
62,INFSB,yes,"According to [PLACEHOLDER], what influence does the FSB have on current Russian foreign policy?",Major influence,Average influence,Minor influence,,,,,,,
63,FPRUINFL,yes,"According to [PLACEHOLDER], the impact that Russia's foreign policy in recent years has had on Russia's international influence",Definitely positive,Definitely negative,,,,,,,,
64,FPRULIV,yes,"According to [PLACEHOLDER], the impact that Russia's foreign policy in recent years has had on Russia's the standard of living in Russia",Definitely positive,Definitely negative,,,,,,,,
65,FPRUUS,yes,"According to [PLACEHOLDER], the impact that Russia's foreign policy in recent years has had on Russia's relationship with the US",Definitely positive,Definitely negative,,,,,,,,
66,FPIMAGE,yes,"According to [PLACEHOLDER], the impact that Russia's foreign policy in recent years has had on Russia's international image",Definitely positive,Definitely negative,,,,,,,,
67,OBJNAT,yes,"According to [PLACEHOLDER], how objectively events in Russia and in the world as a whole are covered by the state-controlled Russian media?",Objectively,Not objectively,,,,,,,,
68,OBJWEST,yes,"According to [PLACEHOLDER], how objectively events in Russia and in the world as a whole are covered by Western media sources?",Objectively,Not objectively,,,,,,,,
69,OBJPRIV,yes,"According to [PLACEHOLDER], how objectively events in Russia and in the world as a whole are covered by Russian media sources not controlled by the state (private)?",Objectively,Not objectively,,,,,,,,
70,REGINTERNET,yes,[PLACEHOLDER] thinks that the extent to which the Internet should be regulated is as follows,Internet content should be under the complete control of the government.,Internet content should only be partially under government control.,Internet content should be completely free of government control.,,,,,,,
71,FPHMNRHT,yes,"According to [PLACEHOLDER], order in the country should be established as follows…",Order at any price,Order with some violations of human rights,Order without violations of human rights,,,,,,,
72,DANIDEA,yes,Does [PLACEHOLDER] agree or disagree with the statement 'In any society it will always be necessary to prohibit the public expression of dangerous ideas'?,Agree,Neither agree nor disagree,Disagree,,,,,,,
73,DEFINDIV,yes,Does [PLACEHOLDER] agree or disagree with the statement 'The rights of the individual should be protected even if guilty people sometimes go free'?,Agree,Neither agree nor disagree,Disagree,,,,,,,
74,DEFSOC,yes,Does [PLACEHOLDER] agree or disagree with the statement 'The interests of society should be protected even if innocent people sometimes end up in prison'?,Agree,Neither agree nor disagree,Disagree,,,,,,,
75,ONEPHILO,yes,"Does [PLACEHOLDER] agree or disagree with the statement 'It is obviously the case that of all the philosophies that exist in the world, only one is undoubtedly correct'?",Agree,Neither agree nor disagree,Disagree,,,,,,,
76,HUMCOOP,yes,Does [PLACEHOLDER] agree or disagree with the statement 'Human nature is basically cooperative'?,Agree,Neither agree nor disagree,Disagree,,,,,,,
77,RUSSIAFORRUS,yes,Does [PLACEHOLDER] agree or disagree with the idea of 'Russia is for Russians [russkikh]!'?,Agree,Neither agree nor disagree,Disagree,,,,,,,
78,STALIN,yes,Does [PLACEHOLDER] agree or disagree with the statement 'Stalin is blamed for things he didn't do'?,Agree,Neither agree nor disagree,Disagree,,,,,,,
79,COMPPOL,yes,Does [PLACEHOLDER] agree or disagree with the statement 'Competition among various political parties will make our system stronger'?,Agree,Neither agree nor disagree,Disagree,,,,,,,
80,COMPECO,yes,"Does [PLACEHOLDER] agree or disagree with the statement 'Competition among enterprises, firms, and organizations benefits our society'?",Agree,Neither agree nor disagree,Disagree,,,,,,,
81,RICHER,yes,"Does [PLACEHOLDER] agree or disagree with the statement 'It is normal when the owner of a prosperous enterprise, using the labor of his workers, becomes richer than other people'?",Agree,Neither agree nor disagree,Disagree,,,,,,,
82,NEWBUSI,yes,Does [PLACEHOLDER] agree or disagree with the statement 'There is no sense in starting a new business since it might fail'?,Agree,Neither agree nor disagree,Disagree,,,,,,,
83,STATEIND,yes,Does [PLACEHOLDER] agree or disagree with the statement 'All heavy industry should belong to the state and not be privately owned'?,Agree,Neither agree nor disagree,Disagree,,,,,,,
84,LEADERBE,yes,Does [PLACEHOLDER] agree or disagree with the statement 'The most important thing for a leader is to follow his convictions and not give in to public pressure'?,Agree,Neither agree nor disagree,Disagree,,,,,,,
85,RUSSTRADIT,yes,Does [PLACEHOLDER] agree or disagree with the statement 'Those people who do not observe Russian traditions and customs cannot become true Russians [rossiyanami]'?,Agree,Neither agree nor disagree,Disagree,,,,,,,
86,HOMOSEX,yes,Does [PLACEHOLDER] agree or disagree with the statement 'Homosexuality can never be justified'?,Agree,Neither agree nor disagree,Disagree,,,,,,,
87,ABORTION,yes,Does [PLACEHOLDER] agree or disagree with the statement 'Abortion can never be justified'?,Agree,Neither agree nor disagree,Disagree,,,,,,,
88,EURCIV,yes,Does [PLACEHOLDER] agree or disagree with the statement 'Russia is part of European civilization'?,Agree,Neither agree nor disagree,Disagree,,,,,,,
89,RUSSYST,yes,"What type of political system, according to [PLACEHOLDER], is most appropriate for Russia?",The Soviet system that existed before perestroika,"The Soviet system, but in a different, more democratic form",The current political system,A Western-style democracy,,,,,,
90,LIKELYPUFUTURE,yes,"In [PLACEHOLDER]'s opinion, how will Vladimir Putin distribute power when he leaves the presidency?",Transfer all power to a trusted successor or like-minded associates,"Transfer power to at least one like-minded associate, but keep some power for himself well into the future",Keep all power in his own hands despite leaving the presidency,"Let voters decide in fully free and fair elections, even if this allows a true opposition figure to win",,,,,,
91,PRIDE,yes,Is [PLACEHOLDER] proud to be a citizen of Russia?,Proud,Not proud,,,,,,,,
92,PRIDEDEM,yes,Is [PLACEHOLDER] proud at all of the state of democracy in Russia?,Proud,Not proud,,,,,,,,
93,PRIDEGLOBINF,yes,Is [PLACEHOLDER] proud at all of Russia's political influence in the world?,Proud,Not proud,,,,,,,,
94,PRIDERECON,yes,Is [PLACEHOLDER] proud at all of Russia's economic achievements?,Proud,Not proud,,,,,,,,
95,PRIDEARMY,yes,Is [PLACEHOLDER] proud at all of Russia's armed forces?,Proud,Not proud,,,,,,,,
96,PRIDEHIST,yes,Is [PLACEHOLDER] proud at all of Russia's history?,Proud,Not proud,,,,,,,,
97,IMMIGECON,yes,[PLACEHOLDER] thinks that immigrants are helpful for the development of the Russian economy.,Agree,Disagree,,,,,,,,
98,IMMIGJOBS,yes,[PLACEHOLDER] thinks that immigrants take jobs away from Russians.,Agree,Disagree,,,,,,,,
99,IMMIGOPEN,yes,[PLACEHOLDER] thinks that immigrants make Russia more open to new ideas and cultural influences.,Agree,Disagree,,,,,,,,
100,IMMIGCRIME,yes,[PLACEHOLDER] thinks that immigrants cause an increase in the crime rate.,Agree,Disagree,,,,,,,,
101,PPROTEST1,yes,"According to [PLACEHOLDER], is participation in political activity such as 'Submitting petitions' justifiable or not?",Justifiable,Not justifiable,,,,,,,,
102,PPROTEST2,yes,"According to [PLACEHOLDER], is participation in political activity such as 'Participating in a boycott' justifiable or not?",Justifiable,Not justifiable,,,,,,,,
103,PPROTEST3,yes,"According to [PLACEHOLDER], is participation in political activity such as 'Attending demonstrations sanctioned by the government' justifiable or not?",Justifiable,Not justifiable,,,,,,,,
104,PPROTEST4,yes,"According to [PLACEHOLDER], is participation in political activity such as 'Participating in a strike' justifiable or not?",Justifiable,Not justifiable,,,,,,,,
105,PPROTEST6,yes,"According to [PLACEHOLDER], is participation in political activity such as 'Attending unsanctioned demonstrations' justifiable or not?",Justifiable,Not justifiable,,,,,,,,
106,PPROTEST7,yes,"According to [PLACEHOLDER], is participation in political activity such as 'Protesting on social media' justifiable or not?",Justifiable,Not justifiable,,,,,,,,
107,CONSTPARLPRES,yes,What is [PLACEHOLDER]'s point of view?,The power of the president should be greater.,The president and parliament should have equal power.,The power of parliament should be greater.,,,,,,,
108,CONSTREFGOALS,yes,"According to [PLACEHOLDER], what is the main goal of the changes to Russia's constitution?",Liberalization of the political system,Preserving Putin's power beyond his current presidential term,Laying the groundwork for Putin to transfer power to a chosen successor or successors,Improving the efficiency of the public administration,,,,,,
109,EVPUCORR,yes,"In the last twenty years since the year 2000, according to [PLACEHOLDER], corruption on the part of state officials",Increased,Decreased,Remained unchanged,,,,,,,
110,EVPUINEQ,yes,"In the last twenty years since the year 2000, according to [PLACEHOLDER], income inequality",Increased,Decreased,Remained unchanged,,,,,,,
111,EVPUPOLST,yes,"In the last twenty years since the year 2000, according to [PLACEHOLDER], political stability in Russia",Increased,Decreased,Remained unchanged,,,,,,,
112,EVPUINFL,yes,"In the last twenty years since the year 2000, according to [PLACEHOLDER], the influence of Russia in the world",Increased,Decreased,Remained unchanged,,,,,,,
113,EVPUDEMO,yes,"In the last twenty years since the year 2000, according to [PLACEHOLDER], democracy and human rights in Russia",Increased,Decreased,Remained unchanged,,,,,,,
114,EVPURESPONSE,yes,"In the last twenty years since the year 2000, according to [PLACEHOLDER], the responsiveness of the state to the needs of the population",Increased,Decreased,Remained unchanged,,,,,,,
115,EVPULIV,yes,"In the last twenty years since the year 2000, according to [PLACEHOLDER], the population’s standard of living",Increased,Decreased,Remained unchanged,,,,,,,
116,EVPURESPECT,yes,"In the last twenty years since the year 2000, according to [PLACEHOLDER], respect for Russia in the world",Increased,Decreased,Remained unchanged,,,,,,,
117,EVPUMORAL,yes,"In the last twenty years since the year 2000, according to [PLACEHOLDER], morality and Christian values in Russia",Increased,Decreased,Remained unchanged,,,,,,,
118,EVPUMIL,yes,"In the last twenty years since the year 2000, according to [PLACEHOLDER], military readiness and strength",Increased,Decreased,Remained unchanged,,,,,,,
119,EVPUINTEGR,yes,"In the last twenty years since the year 2000, according to [PLACEHOLDER], integration of the post-Soviet space",Increased,Decreased,Remained unchanged,,,,,,,
120,EUROPHIL,yes,Which of these statements is closer to [PLACEHOLDER]’s point of view?,Russia should follow the path of developed countries and assimilate the experience and achievements of Western civilization.,"Taking into account the history and geographic position of Russia at the crossroads of Europe and Asia, it should follow a unique Russian path.",,,,,,,,
121,SEMODEL,yes,Which country does [PLACEHOLDER] think can serve as a model of political and economic development for Russia?,Scandinavia,Germany,China,US,,,,,,
122,PERESTEVAL,yes,What is closest [PLACEHOLDER]'s personal evaluation of the results of perestroika?,Negative,Positive,,,,,,,,
123,PERESTLIVST,yes,How did [PLACEHOLDER]'s standard of living and the standard of living of those close change in the late 1980s/early 1990s as a result of perestroika?,Deteriorated,Did not change,Improved,,,,,,,
124,SANCTLIV,yes,How did [PLACEHOLDER]'s standard of living and the standard of living change after 2014 as a result of Western sanctions?,Deteriorated,Did not change,Improved,,,,,,,
125,PARTYMEM,yes,Is [PLACEHOLDER] a member of any political party or movement?,Yes,No,,,,,,,,
126,CPSU,yes,Was [PLACEHOLDER] a member of the CPSU during the Soviet period?,Yes,No,,,,,,,,
127,ARMY,yes,Did [PLACEHOLDER] serve in the armed forces?,Served,Was in reserves,Did not serve at all,,,,,,,
128,FORCESTR,yes,"Have [PLACEHOLDER] ever served as an officer in any other force structures, such as the FSB, KGB, MVD, procuracy, or MChS?",Yes,No,,,,,,,,
129,LANGUAGE1,yes,Which does [PLACEHOLDER] speak most fluently?,English,French,German,,,,,,,
